,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
211,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
212,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
213,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
214,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
215,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
216,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
217,My Best Friend's Wedding,"Comedy, Drama, Romance  ",105,1997,63,50,132865
218,Anastasia,"Animation, Adventure, Drama  ",94,1997,72,61,114550
219,The Jackal,"Action, Crime, Drama  ",124,1997,64,36,108808
220,The Full Monty,"Comedy, Drama  ",91,1997,72,75,100491
221,Bean,"Adventure, Comedy, Family  ",89,1997,65,52,99391
222,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
223,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
224,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
225,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
226,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
227,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
228,Wag the Dog,"Comedy, Drama  ",97,1997,71,73,80128
229,Speed 2: Cruise Control,"Action, Adventure, Crime  ",121,1997,39,23,76126
230,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
231,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
232,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
233,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
234,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
235,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
236,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
237,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
238,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
239,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
240,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
241,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
242,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
243,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
244,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
245,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
246,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
247,Starship Troopers,"Action, Adventure, Sci-Fi  ",129,1997,72,51,274479
248,Contact,"Drama, Mystery, Sci-Fi  ",150,1997,75,62,259133
249,Boogie Nights,Drama  ,155,1997,79,85,244247
250,Batman & Robin,"Action, Sci-Fi  ",125,1997,38,28,237514
251,Alien: Resurrection,"Action, Horror, Sci-Fi  ",109,1997,62,63,233141
252,Austin Powers: International Man of Mystery,"Adventure, Comedy  ",89,1997,70,51,225392
253,Cube,"Drama, Mystery, Sci-Fi  ",90,1997,72,61,216879
254,Hercules,"Animation, Adventure, Comedy  ",93,1997,73,74,211263
255,Tomorrow Never Dies,"Action, Adventure, Thriller  ",119,1997,65,52,183952
256,Air Force One,"Action, Drama, Thriller  ",124,1997,65,61,183553
257,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
258,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
259,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
260,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
261,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
262,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
263,My Best Friend's Wedding,"Comedy, Drama, Romance  ",105,1997,63,50,132865
264,Anastasia,"Animation, Adventure, Drama  ",94,1997,72,61,114550
265,The Jackal,"Action, Crime, Drama  ",124,1997,64,36,108808
266,The Full Monty,"Comedy, Drama  ",91,1997,72,75,100491
267,Bean,"Adventure, Comedy, Family  ",89,1997,65,52,99391
268,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
269,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
270,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
271,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
272,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
273,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
274,Wag the Dog,"Comedy, Drama  ",97,1997,71,73,80128
275,Speed 2: Cruise Control,"Action, Adventure, Crime  ",121,1997,39,23,76126
276,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
277,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
278,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
279,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
280,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
281,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
282,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
283,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
284,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
285,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
286,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
287,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
288,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
289,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
290,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
291,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
292,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
293,Starship Troopers,"Action, Adventure, Sci-Fi  ",129,1997,72,51,274479
294,Contact,"Drama, Mystery, Sci-Fi  ",150,1997,75,62,259133
295,Boogie Nights,Drama  ,155,1997,79,85,244247
296,Batman & Robin,"Action, Sci-Fi  ",125,1997,38,28,237514
297,Alien: Resurrection,"Action, Horror, Sci-Fi  ",109,1997,62,63,233141
298,Austin Powers: International Man of Mystery,"Adventure, Comedy  ",89,1997,70,51,225392
299,Cube,"Drama, Mystery, Sci-Fi  ",90,1997,72,61,216879
300,Hercules,"Animation, Adventure, Comedy  ",93,1997,73,74,211263
301,Tomorrow Never Dies,"Action, Adventure, Thriller  ",119,1997,65,52,183952
302,Air Force One,"Action, Drama, Thriller  ",124,1997,65,61,183553
303,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
304,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
305,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
306,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
307,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
308,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
309,My Best Friend's Wedding,"Comedy, Drama, Romance  ",105,1997,63,50,132865
310,Anastasia,"Animation, Adventure, Drama  ",94,1997,72,61,114550
311,The Jackal,"Action, Crime, Drama  ",124,1997,64,36,108808
312,The Full Monty,"Comedy, Drama  ",91,1997,72,75,100491
313,Bean,"Adventure, Comedy, Family  ",89,1997,65,52,99391
314,Anaconda,"Action, Adventure, Horror  ",89,1997,48,37,98529
315,Conspiracy Theory,"Action, Mystery, Thriller  ",135,1997,67,49,95374
316,Grosse Pointe Blank,"Action, Comedy, Crime  ",107,1997,73,76,89572
317,Cop Land,"Crime, Drama, Thriller  ",105,1997,69,64,88298
318,Flubber,"Comedy, Family, Sci-Fi  ",93,1997,53,37,85626
319,Dante's Peak,"Action, Adventure, Thriller  ",108,1997,60,43,84264
320,Wag the Dog,"Comedy, Drama  ",97,1997,71,73,80128
321,Speed 2: Cruise Control,"Action, Adventure, Crime  ",121,1997,39,23,76126
322,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
323,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
324,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
325,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
326,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
327,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
328,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
329,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
330,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
331,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
332,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
333,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
334,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
335,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
336,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
337,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
338,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
339,Starship Troopers,"Action, Adventure, Sci-Fi  ",129,1997,72,51,274479
340,Contact,"Drama, Mystery, Sci-Fi  ",150,1997,75,62,259133
341,Boogie Nights,Drama  ,155,1997,79,85,244247
342,Batman & Robin,"Action, Sci-Fi  ",125,1997,38,28,237514
343,Alien: Resurrection,"Action, Horror, Sci-Fi  ",109,1997,62,63,233141
344,Austin Powers: International Man of Mystery,"Adventure, Comedy  ",89,1997,70,51,225392
345,Cube,"Drama, Mystery, Sci-Fi  ",90,1997,72,61,216879
346,Hercules,"Animation, Adventure, Comedy  ",93,1997,73,74,211263
347,Tomorrow Never Dies,"Action, Adventure, Thriller  ",119,1997,65,52,183952
348,Air Force One,"Action, Drama, Thriller  ",124,1997,65,61,183553
349,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
350,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
351,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
352,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
